feature1,feature2,target
-4.7743895781266765,-1.1287825063241168,1
-3.1358264751054654,-0.5352170827601714,1
4.46523856989587,-2.0122332743074693,0
-4.2818041853846776,-0.8782511761924867,1
3.407544550468496,-2.6646417169408263,0
2.6658967819169943,-1.6424438873886424,0
3.227831809486964,-4.18111682973592,0
3.1537009360491854,-3.0579709368344004,0
3.32001871545605,-2.467843889795293,0
-4.74642217571396,-2.797819152774249,1
3.1935952698689336,-3.0619382082362105,0
3.3501930197174787,-2.535950427596317,0
-2.810198712007336,-3.4806630992158407,1
-4.871440855732347,-3.0063876588425194,1
-3.1509915842404217,-2.616313292006624,1
-3.9500253427657452,-2.618026730564045,1
2.72549383862857,-3.1529175302481884,0
-3.489929838405967,-3.3384469292355634,1
-4.212938660261237,-2.4577342176173698,1
3.11641689735229,-1.4819699925667362,0
3.9575227268215576,-3.4963531879780305,0
2.6508652615482022,-2.710681865511889,0
3.8821890010928852,-3.218406433158404,0
-3.47579855444307,-1.0647350928976103,1
-3.7042907954252415,-2.8824871040243836,1
-3.9124778842271413,-1.3712120821109093,1
4.692696491447041,-4.028744667604007,0
-2.5993274355550358,-3.0842669760537578,1
-3.905259676076606,-2.058051860912088,1
-2.2990327868425444,-3.3604164022709337,1
-3.7357970697214435,-1.3205317988997616,1
-4.0914231758449375,-4.026077504776078,1
-2.2396632793290077,-2.3770314889511557,1
-3.9861458286051037,-3.124001230101812,1
-3.1792559928159236,-1.7039085573345625,1
3.1538835268978036,-3.5526073086997574,0
2.8010611572361928,-2.136121559440942,0
4.646204360732906,-3.1600742843248084,0
2.7871196706727357,-4.290850670345204,0
2.9527270091660482,-3.6005929938840913,0
4.539666050728039,-3.685649930841304,0
-4.144576955841805,-0.927132505000321,1
3.653909651564831,-1.3673312100794803,0
4.026907333290566,-3.4603483776122896,0
-4.12992528200535,-2.888713021540948,1
3.7907815663246867,-4.106753273732957,0
-3.0550070788846018,-3.536534574794854,1
-3.4285454059627876,-1.4310459050935773,1
-2.7945699203791072,-2.0985389346036296,1
5.231057268318176,-2.858645406134575,0
-3.942624151990532,-5.0292810001366135,1
-4.0088530863074325,-0.558250846863575,1
-3.3652866759579285,-2.4270375984269954,1
-1.5413363198808887,-4.772506518348716,1
-3.6514912321190187,-3.3544862607375467,1
3.4413730351553022,-3.173533476025968,0
4.106533216529534,-2.894595282029985,0
-4.033885534128516,-0.8035779053517957,1
-3.888886903498834,-1.8004956715456668,1
3.8269338575759013,-3.7401421535197477,0
-3.3392062442465127,-4.215418565057676,1
-4.11670632641251,-2.172696554868997,1
4.81593339103495,-1.9357650417846575,0
-3.515524121290463,-3.388342056699369,1
4.139200478366295,-2.6898214969193424,0
1.9072061766322514,-2.6503805825134945,0
5.090526627680316,-3.1382459513284204,0
5.50603176627068,-2.0124537913731864,0
-3.381466650888482,-1.3995465430952194,1
3.5617750275112936,-3.699203843798209,0
3.1012520565827075,-3.5103872075338454,0
-1.8950174846328225,-2.930456599846667,1
-5.077115402697855,-2.048206228060625,1
-2.891995623649881,-3.3835085208443756,1
3.586801583005091,-2.287956858765482,0
4.381446730047619,-1.972774940832426,0
4.4667103046230325,-1.8611929210448237,0
-4.922102792267591,-2.2122996822420156,1
-1.9283981712874636,-2.2116331650229757,1
4.364315087347467,-2.6029850168390687,0
3.8520410296061955,-3.0347590344816933,0
-3.543388746791651,-0.9654338566127019,1
-4.408781621981291,-2.197714084803211,1
4.074245446143943,-3.9174825223317513,0
4.143535610775525,-1.1761822650747804,0
3.58754725265205,-3.777084094192764,0
-1.9512787825505333,-4.080359102810791,1
6.20507027823013,-2.0590923280151343,0
4.338007287591941,-2.1876041130428487,0
-5.03959359391304,-2.178331234201077,1
3.446456014190593,-2.1744147888179435,0
5.760312506779076,-3.4171676593250284,0
-1.9554163054551457,-2.141615280335533,1
3.828662606613821,-1.9254064082884454,0
3.3751621131946186,-3.6018478931519513,0
-4.303223768061833,-2.2527216032695088,1
4.1409795838805215,-3.40865916086031,1
-4.745017363765835,-1.409185071171518,1
-4.486586260797145,-2.9979652586741565,0
5.657198953020219,-1.7185258726476518,1
